name_of_experiment,date_of_experiment,input_nodelist,input_edgelist,count_of_seeds,count_of_agents,count_of_nodes,num_cycles,growth_rate,agent_environment,count_of_superstars,seed_indeg_min,seed_indeg_Q1,seed_indeg_median,seed_indeg_Q3,seed_indeg_max,agent_indeg_min,agent_indeg_Q1,agent_indeg_median,agent_indeg_Q3,agent_indeg_max,out_degree_distribution,run_time,memory_requested,memory_used,alpha
6_21_ecc7_fmf_standard_ss_ra_10_years_lag,Sat Jun 21 15:47:31 2025,sj_nodelist,sj_edgelist,491532,701570,1193102,30,0.03,ra,1,0,5.0,10.0,23.0,658830,0,5.0,13.0,22.0,290401,pooled_5k_pubmed.csv,22:47.47,64GB,6.0GB,Random
6_21_ecc7_fmf_standard_ss_ra_20_years_lag,Sat Jun 21 16:00:19 2025,sj_nodelist,sj_edgelist,491532,701570,1193102,30,0.03,ra,1,0,5.0,10.0,23.0,661261,0,6.0,13.0,20.0,47019,pooled_5k_pubmed.csv,24:46.04,64GB,5.96GB,Random
