#node_id,out_degree
37872881,90
34055359,14
35942121,55
37206106,95
34963411,25
33818700,86
34684402,94
38097187,104
38736661,155
32613011,65
39052171,71
34039542,19
32550902,89
35610566,93
36043570,38
37340378,95
38910287,40
35673800,85
35724644,23
38455365,74
39902098,145
35353825,67
36440975,86
35923088,53
32665580,115
39623020,43
38179052,252
40349036,43
39854294,72
38755796,69
37849547,147
38519512,70
33604089,24
34652429,142
38264202,74
39407984,58
37687654,28
36135231,115
32640748,109
38687468,440
34219345,35
34573425,119
34557142,128
36895254,17
34461866,30
39169426,574
38435711,90
35603043,149
38234079,55
36516442,78
37920188,18
37060433,319
35480665,74
33387192,122
39082879,35
33180676,119
34541373,90
35087777,258
39615000,57
32571365,26
39568749,151
35076030,38
38142041,137
40083323,88
32099938,6
38188535,53
35467411,85
39568921,52
32670388,80
36634671,21
38062461,178
32256267,59
34603378,193
34290955,18
39822813,15
38932134,44
36044408,81
35601672,21
33064324,67
33162716,14
37347167,124
40389397,199
33756474,19
34449079,13
40458594,98
32396807,45
39261424,416
33035234,45
36481808,27
37850152,43
35520733,87
40463543,112
34767690,49
36540672,124
37938639,118
40200169,100
35545400,107
35807265,86
33422022,70
37896454,52
40427057,145
35136027,78
40234247,39
37215626,15
34353873,18
34319133,51
35210388,167
37112636,85
34586065,271
35953688,282
36134073,16
38229771,79
39446213,19
37511095,88
33032620,30
34745194,83
39139548,56
37387557,230
35743970,81
32944272,72
36232636,163
36464792,121
32206282,38
33733001,11
32161325,35
38707568,70
40385037,59
38504024,92
39110281,136
38228173,236
39973306,59
34542221,24
34411923,25
38046000,72
40392792,71
32587572,80
37885905,57
37268696,135
32922618,17
35430615,199
39684557,126
37410782,88
34299164,278
34522084,126
39718016,160
38836808,103
37345078,114
38765385,28
37614905,81
33996795,170
37868155,72
40284018,91
39105913,30
37601394,7
36434560,29
35348189,138
37041279,45
37696165,133
39046076,77
33648025,15
36576504,61
36157408,57
32543370,102
38589002,104
33723743,161
39428642,51
35500905,37
35624565,121
34526119,106
33027849,38
38957442,65
38748291,18
35372533,182
35981787,53
39272687,31
38149950,147
38187159,109
32476065,54
36833090,67
33721725,113
35772222,76
35157143,42
38520405,128
35293427,21
39421234,66
37527231,45
40242498,63
39039683,72
37344920,76
34374542,81
40144065,67
39453386,115
33546452,81
33022983,118
40305741,160
33419899,45
38794026,92
37097736,105
32256490,933
32090258,108
33622671,41
34645822,131
34109473,24
34714840,207
38337633,103
35436914,126
33935384,43
32472083,58
39508769,106
36408505,165
37497001,296
33855603,72
34267950,29
33404760,37
37566154,110
36927059,26
38025152,14
36872556,43
39205867,93
39654584,43
35225670,29
32483169,102
39661948,110
34786762,26
40188269,46
31956551,34
32005833,53
34980062,83
32646482,54
36768473,702
39137404,96
33255481,62
36154936,45
39545162,13
39542878,83
32832083,61
38279265,289
37817108,170
35291990,87
33869331,326
35157505,30
34638693,279
35054130,165
38246971,37
32730299,127
35582234,39
34815672,43
37078735,59
33007284,15
38453942,167
38231906,66
35071624,28
35488827,41
35799051,170
35701482,53
34617067,33
37629125,138
40270552,7
34238283,73
33911144,49
37398654,76
37835115,57
36165614,128
37750913,33
37730650,84
35104887,9
39882113,75
34113290,74
38403889,47
38781036,10
37052213,97
35059030,257
32548453,79
33054744,59
40044778,56
37808290,203
36646116,6
39534795,7
36060021,44
34629832,59
38625396,96
36211907,27
35222928,75
33048164,196
34205137,39
32456035,56
32764213,22
39734995,21
39846248,74
36002209,64
36555526,157
39727310,248
37404351,90
36869783,96
38883472,48
32043003,33
34732567,172
39411690,43
32054214,23
34224561,75
33935541,32
36608305,27
38132504,95
40082749,75
34000646,145
38576202,71
38151960,66
38505562,55
37892369,59
36864581,14
35444504,26
32099788,111
35672288,74
35127914,22
36608125,23
39231734,19
38628988,31
38357151,20
37189841,148
40379372,16
35020844,68
33073147,69
33693887,77
39911320,87
34301422,59
34422853,182
33093955,59
35924262,63
40371014,61
32545722,185
37150408,106
36704045,454
38309209,130
39702031,56
39242641,111
35838345,24
37007026,497
38311233,849
32210184,295
37744794,49
37999253,283
39368992,160
39456509,604
37593346,42
33313533,87
36967544,32
37969497,50
37342266,100
40238097,86
36528073,172
39495995,49
36318257,56
35890062,292
38809034,31
34440852,168
32714566,33
39277143,122
37195883,15
33122966,143
40352010,23
39768314,180
39069319,203
39005633,35
32097242,52
35781150,36
36125312,182
33748814,40
35093121,320
33613861,74
33331980,44
36713329,52
35929622,148
37368202,51
37505822,42
36892931,84
35373199,110
35591209,43
36470878,36
39623465,37
38047095,16
35685715,21
37205348,122
34775927,66
40048322,45
39385910,59
39712953,68
34940411,84
34607973,87
37195342,69
35836487,146
37630974,109
32306836,172
34611705,111
34620840,151
39119504,50
39117705,163
35879072,74
33628005,28
36950466,40
35538512,147
39599799,159
35031047,81
39015555,654
33029584,33
40417596,72
38918878,295
37727989,35
38694880,28
33681576,137
35968328,65
37492172,94
38933895,21
34378278,55
36040809,147
33502485,29
34042261,64
38262969,67
39899115,148
33198332,81
39872199,122
37493140,155
40404671,45
38003795,120
39331685,169
40279125,113
39398050,111
40428400,237
33473829,10
36984019,148
35663351,74
33349594,46
35280093,16
40276735,71
38449887,88
32905054,21
36003392,99
38983163,117
36914735,38
35449646,14
39595954,126
37104435,48
36837496,79
37292778,94
38082380,111
39670107,56
37726385,100
37031487,129
33409409,191
33790604,115
37371387,122
35548551,98
34808076,82
35858302,15
36384548,35
37824582,125
33476544,48
37658114,13
32683060,10
38935909,157
37638974,108
37235635,78
36447545,25
37108688,83
35974169,720
32904324,11
35682974,380
33661898,134
32581651,63
38817977,30
34403275,50
35159864,93
39749143,27
33563250,127
33061074,78
37583624,31
38886858,170
39149911,160
39960936,41
36315314,58
40140585,183
39771198,82
38990166,32
35026269,22
34039993,48
37971722,110
38280140,89
38032893,149
36668740,115
32695989,21
40390823,33
38221609,67
39112668,40
34797094,31
38781280,117
39658529,29
34781754,46
32923013,32
33727357,85
39184913,202
34768940,254
32560411,183
37286908,17
38371508,87
40116585,45
39205250,194
36145540,148
33688291,54
36585637,78
38728474,100
35845601,54
32476985,44
35571732,48
39892477,150
38557172,19
36644401,75
38204455,178
36034562,204
39415247,70
38999986,247
33178820,94
38006429,148
34130115,94
32658359,224
36779112,22
33274289,23
36352216,74
32945622,98
36697698,47
39740920,62
38658584,92
34269903,100
35492616,404
37735534,92
38512687,41
38990420,77
34157975,63
35906641,129
33459724,20
36450363,34
35053708,54
40178924,33
32489850,14
36295563,92
34434207,69
34301928,131
34579040,77
38612848,95
33297604,51
33082511,157
40084287,55
36808610,112
35290717,68
34766549,192
34389670,66
35286617,137
37576683,52
36065205,40
37930267,65
36909099,11
39771444,69
35014004,49
39289669,89
38600339,23
35967936,24
36359366,241
37240501,42
36359993,68
33535732,30
37365611,38
34451296,88
38357083,39
39296655,24
33623204,14
34210645,36
35819787,138
39056088,58
33850390,16
40027038,34
40066501,83
37286904,98
38009150,31
34848899,43
33087946,137
36604434,358
36975465,59
33835271,49
39719687,259
38313621,73
36615218,67
35606473,129
39616362,26
34445781,206
34170362,50
36138039,98
37146031,51
39211784,168
35213964,101
37643855,43
39188596,52
35206008,99
37386249,121
38162705,33
38365640,58
36844612,118
32420073,132
35750014,113
36051551,57
35869701,61
38201810,104
39970740,23
33055239,181
32021844,57
37792886,98
37669154,44
38027216,44
36556729,35
35125582,44
38713063,66
39172452,65
39946168,70
32269661,20
35194501,90
39162880,83
32456202,76
39621310,165
32563833,36
40217174,24
35744698,423
32664698,57
32331254,68
32354651,86
35464506,101
37927912,31
38565711,64
39165646,82
39564035,24
38076259,61
32035527,17
33296918,36
40431577,87
34524614,310
35515039,33
36314953,62
39347548,55
35229213,34
36823588,65
34999471,22
32211601,11
38441063,81
39702298,64
32494753,48
38629742,42
32489700,82
39339855,129
33542291,189
34639616,57
34031540,101
38868729,24
34996848,30
38115616,62
34159754,59
36077433,477
32351004,115
36276597,6
34140043,148
33669549,65
38982071,63
35453237,313
32038713,104
33937146,205
32456084,48
32503601,83
39915485,33
32866248,65
33450975,174
38398880,203
38855823,67
32847061,67
40355416,43
34670550,136
37445261,91
35449869,46
38062381,59
38221548,88
38903973,72
33079042,58
34072652,68
39057884,65
34481264,33
33681619,37
40059122,91
