#node_id,out_degree
33421511,63
33989365,57
36128366,115
35603103,10
37187469,90
34707950,14
39749348,32
38445253,82
35929177,45
37458789,93
35868847,124
39739649,49
37122503,48
39589589,49
34064987,97
36571264,65
39581987,19
34211225,18
39684759,167
37648723,173
36677363,128
37234716,90
33121515,136
34660498,138
34487298,93
36711812,93
35517374,46
40129867,69
33346335,46
32681279,56
34392603,75
35444469,50
39850195,10
35626806,24
32871958,21
36072615,53
33999320,84
36046170,27
37175854,70
37727219,21
32655827,38
37360725,46
36536957,63
32131825,76
39654800,136
32590587,15
36850298,43
35938143,41
38674890,152
39691825,53
39619812,19
32139893,85
33138099,124
35359861,89
34540020,10
35435138,111
38061717,27
31911409,51
37924982,131
35221304,91
34574157,55
39640483,143
38731906,136
32729838,104
40462168,83
39483829,28
36540826,73
39737316,26
39309029,311
33632255,99
37654884,22
36902284,81
38753620,13
32576969,221
37278343,12
38032883,15
38707167,27
39816246,94
36091861,19
39734661,66
37443041,138
39756512,15
32204744,49
38024205,14
39767603,76
38719877,124
34977005,78
37805977,71
33232556,62
34519440,70
32821284,110
39092520,77
36879947,128
33947708,67
35840988,22
34100388,59
36978421,864
37061615,33
34424452,56
36231156,72
33144378,154
38344586,12
39705166,22
39441875,46
38304856,53
32350321,61
36016625,143
38520513,68
35326455,103
32919442,9
36839242,101
35402411,76
38421138,162
33029240,55
38125819,61
34046884,117
32095025,35
34249913,107
38028882,191
38930019,54
35816699,54
37259983,87
37378590,119
38859860,44
35762636,201
39941740,185
39100472,157
38255766,106
33854850,24
35008310,104
32765147,34
34466068,33
32174822,37
35902771,114
36934204,64
35334762,18
36561600,27
39616215,60
32021426,94
36226882,12
36145006,49
32308761,43
37022778,72
39797004,177
38900522,135
38068949,91
35642485,197
37532894,72
33867940,278
34557478,332
39007040,114
36245590,51
40261879,41
38402498,29
35895002,27
39496779,52
37250448,88
36770594,587
37900895,26
40164674,92
39555252,48
36197514,86
35069705,279
33897929,31
33327391,94
39167317,114
39301168,125
34445964,51
35748492,50
38811582,52
36194292,18
33104726,112
38177288,64
38472859,115
34672936,68
40308478,12
33547763,54
39499295,26
35178525,74
33513181,63
36348163,86
32973103,104
34150753,182
34629563,43
38328746,41
36407153,53
40033366,127
36108240,105
34343398,19
35095611,158
36333945,59
34135554,113
33842818,33
35169616,37
38058391,234
32677525,17
38993818,28
36402045,62
36014307,97
35005672,64
37889924,89
39253154,60
35435153,100
34917954,69
37477521,66
39934390,84
37498841,75
40322758,12
36768010,57
39518548,106
36631625,52
35959046,212
38137924,167
33364885,23
34774066,64
35956041,131
34381345,115
38106714,22
35617347,46
36436456,113
32240543,13
37009185,31
38983869,77
35309603,21
33047513,34
38610244,41
33235501,64
33664360,30
38550849,10
38071192,175
39434928,25
32256287,48
36917051,33
31975172,260
39282077,110
33392823,61
32928189,67
32570961,1007
37097461,22
36193425,31
37802192,73
35317753,44
37441355,58
39464338,154
39179251,63
35521617,55
34292776,58
34912335,83
33418497,16
37995059,63
36280819,24
34201323,57
34552952,104
39368073,116
38837392,204
39006311,20
35887608,79
36430990,259
39457279,78
39587624,28
37213516,148
34042937,25
36812691,25
35074422,90
37447072,140
34851994,89
36804425,125
37476515,82
38412609,29
33312150,210
32492786,287
38507104,109
38656500,89
32617490,6
37366506,327
32664645,36
37600102,10
35563299,111
38912230,17
36028999,118
39699004,22
37577153,53
38062450,148
33357074,79
33257374,16
40237173,83
38863828,98
34006605,19
33658532,139
32595732,79
36389393,47
35171243,109
39916727,10
34412612,115
40321492,8
35436293,126
37339119,253
38346015,96
33799950,87
32999947,57
34522809,6
35657955,53
37073166,363
32304435,17
34964542,124
33112550,24
32853711,53
37367025,54
39554127,100
36231505,62
38123823,164
36936700,85
34379512,144
33850058,133
38998520,44
34640011,68
36609238,54
34084191,25
32822289,24
35600825,122
38075920,182
37272801,108
38273211,64
34012684,80
39861537,50
39356467,361
33375775,45
35251995,169
32607181,179
36518218,101
34096103,37
33947881,39
34162897,119
39628877,27
36361081,131
36691139,198
34936017,77
38596611,24
32521749,181
33263519,33
32382107,149
39256819,71
39384328,88
36259364,32
39983727,51
36933062,274
36687878,82
32128243,54
39203185,84
32050437,131
36188306,57
39942517,81
34463848,120
39487327,46
33539533,83
33946664,71
35096485,179
38443830,205
32012946,107
37251703,78
36771869,77
34291058,58
35919878,92
34917433,8
39091235,302
32341568,170
33219410,56
35846774,253
36660372,120
33373042,22
34742523,58
40125032,57
33299601,150
37240747,449
38192816,49
35814085,54
38846676,124
36865273,195
40278119,161
37988701,10
33151472,73
37857860,31
33691713,62
32823997,80
37365518,94
35024580,94
35501726,89
38628657,130
39056832,120
38189902,29
36231751,94
39530029,109
37658126,102
38623421,58
38739360,136
37726942,105
37904831,33
31969142,42
37878214,109
35420662,85
33816420,83
34859601,20
35274229,343
35494163,203
37216065,56
39071239,113
40370585,91
37981705,79
40077535,105
39696446,87
39971824,34
39484015,165
34862542,92
33177556,89
38252758,70
34281114,21
37773494,184
33363780,43
34136491,436
33291286,64
37179301,52
37701254,25
35926937,140
40417669,47
33167463,129
36467357,78
37395924,50
36309548,62
39289720,28
32547323,43
37310732,187
36755415,36
38191912,228
37220274,157
34502462,201
33159164,84
38041737,39
39742049,94
38654243,101
34648079,68
33245043,166
34670599,15
38951898,156
35811646,34
39234666,75
35434026,65
33564736,27
37970337,642
34722518,219
32604805,58
39753589,42
40245090,154
33897404,87
39702568,29
38223043,51
39695450,51
35477762,89
32274304,47
39200540,102
39507057,237
40042793,77
32754075,55
35924344,62
38577089,108
37286579,72
40281844,112
39061662,89
37345809,86
36564506,61
33579028,124
37162501,466
33426012,37
39768041,170
32611990,18
36410901,94
33128027,107
35057030,291
38758227,32
36519414,96
38673326,151
32655153,23
37032090,36
35379208,75
34576803,394
32301398,42
34039021,50
39135038,110
37968638,125
37552758,9
33656151,11
38966126,218
36937260,43
34106634,59
37846345,60
38668305,63
38247819,491
37868809,40
36778005,307
39242633,100
32992546,154
38744447,28
38507067,144
33190366,91
39599930,48
38903115,195
34138276,86
33318925,22
39297022,75
32426363,35
39619046,6
40299522,211
34088694,30
38933815,101
32630985,51
32146646,67
37701419,19
40190808,110
32477332,114
34307397,65
39912941,47
39594857,139
37055503,77
39017714,84
34355825,82
34490465,70
35011927,314
37051082,173
35236778,117
37194993,110
39506707,79
38203498,161
39968502,51
35276320,77
32701665,74
33613572,423
33668183,120
35444967,106
36474780,61
32323080,64
36787032,29
34035174,108
40093461,18
32743499,350
34629249,115
38361901,9
36364931,179
34663588,118
36131288,89
37692072,53
36060211,32
39274362,64
35463698,71
36635427,94
32785151,138
33745116,550
35859975,17
37745342,204
34069833,53
33752752,50
39443979,107
39268176,55
32756869,54
36484928,59
38003855,122
36372868,93
35186519,28
38090187,117
34449708,25
37430886,57
35129789,53
39071694,58
34395472,76
39997402,129
36203656,133
37101554,82
35321376,44
39165520,20
39396363,44
35523818,293
39815178,47
33922494,83
38922177,311
33664233,105
40287654,60
32350350,36
34250312,55
32801794,84
34578337,207
39301185,69
39501714,64
34900183,23
39411529,64
34162989,116
36310732,10
39237693,77
33708265,81
35072749,51
34768514,100
34041706,46
38635549,171
40479409,33
40295528,104
39834843,204
39561273,117
37808457,140
36102257,63
37179974,82
32840675,93
39274004,84
36289703,176
35342355,83
39344179,115
37891628,106
33107196,68
37431496,74
34221674,48
37237828,91
38164556,99
32864900,34
39495321,136
37176936,164
39752087,15
40010831,121
37495672,112
33552019,151
40139998,74
37674961,26
37709252,12
35170182,18
36969084,51
35734773,66
34823820,17
35480103,75
34258107,20
34499042,182
32920770,39
34804309,45
34667232,38
34407827,65
33071412,16
39428401,77
33972126,51
31990605,11
37237915,507
34341014,41
38332923,15
37371094,238
37360028,150
35613103,122
36072106,59
33173248,84
32947171,72
34900596,27
38089716,50
37288235,30
37794938,70
35571509,50
33233456,122
38025099,15
37475204,41
32269624,68
39701954,50
36297483,117
36820152,71
33374337,401
40211312,36
39941512,79
40078607,122
32485850,198
37368621,114
39810075,155
39943132,87
38960873,101
38617854,11
40118454,51
36910554,106
32834932,103
37448802,99
40205321,74
34437437,48
36299805,50
39995657,178
40453928,30
35407142,97
38638240,191
33788145,83
40282059,157
39688004,74
40332752,119
38409366,502
36842399,23
37470387,111
39149010,40
33182442,370
36009560,53
34434183,123
32551431,17
33642952,62
33509701,167
34220578,64
37541249,185
37724595,170
39126661,84
38738227,25
35667685,130
39034962,21
39860268,41
38510703,70
34868634,281
38628279,131
33108978,49
35286578,57
39014016,53
35858840,58
35705890,76
34066058,92
33119481,20
34801976,35
32795114,18
36571611,54
40017813,75
35699976,78
33173495,14
38232027,60
39404752,72
35913094,230
34479895,39
35780496,23
39228636,22
38507486,46
34606572,27
39930306,120
37538391,23
36134858,19
33432283,64
36992083,163
35281050,364
40256070,21
34348728,65
37222160,90
37086055,64
33224772,423
32441464,78
35359979,65
39897259,9
33737569,42
35663646,22
38573888,106
32308546,72
31936131,132
37736720,68
35207092,28
32557004,49
36827840,42
35918699,83
38334939,65
34925838,17
34688590,62
32785016,90
38931286,330
33732177,89
33176689,134
36147883,75
35727626,117
33313543,179
34295528,19
38002825,75
32844169,47
38850110,107
39664140,22
34679369,375
36585696,74
34576168,169
36641489,149
36137153,27
35110402,82
39583601,44
37090021,161
36780910,20
34324152,105
38546796,60
37020308,47
39695034,153
35108473,23
40005860,218
32838082,33
35769206,99
39626284,53
39227644,122
37561130,36
35419851,49
38404770,37
40044827,98
35616251,60
39202910,89
39211831,73
40234652,30
36189236,181
35347911,14
39683359,53
36856727,29
35081442,95
32905195,17
32061922,63
40355665,326
37996925,17
36084561,16
39362472,116
36211378,168
32252312,75
39817101,124
35034706,29
33399542,138
38155893,174
32448926,116
36342943,80
32185179,29
35930569,47
32170531,75
35423014,26
35141491,25
40110504,155
40140407,80
32151094,395
36032510,17
33726008,50
38726025,118
34428473,140
32057561,14
33102481,135
37732819,60
37919399,74
32416010,63
35651777,163
32832050,48
36881280,56
33505909,64
37450041,37
33758586,173
37537562,52
38601156,169
38533230,59
36290287,86
32691176,51
33240004,43
37526906,122
35888033,157
37924129,55
32457353,178
38164160,272
39199856,70
36726098,63
36002710,341
34456663,68
35118468,49
36321382,12
37028909,118
37296270,97
39119492,157
36218180,48
36788560,21
31925523,22
37676421,103
34326621,103
39724524,39
35789282,38
38729436,76
39408006,67
36083775,11
36054207,85
38583868,38
38707251,129
35120982,56
38357474,69
32524012,22
37965978,16
38353100,42
34548339,133
37312030,49
35801020,16
37274679,10
32186487,33
37809579,56
38320110,55
34263105,39
33730305,584
33752560,186
32414101,142
37025607,43
35892618,341
36676197,38
40359169,24
34179314,43
35144839,49
33361076,84
37763022,65
34999871,36
33878510,62
37306670,6
36878392,85
35517508,176
39679392,102
36612213,161
34602031,58
38921816,193
36843982,106
33716149,185
32210925,105
34422756,35
38404918,51
38888822,181
38032417,90
39066436,45
38744752,128
36862198,84
32527306,37
32340609,51
32397554,142
36248708,62
37569709,309
31935249,59
32231894,9
35561682,71
35283460,15
39885902,108
36160875,147
34853308,104
38948460,371
33850687,67
39044847,33
37492102,344
40052037,26
32626629,27
37250212,12
39598524,54
32950684,168
33968385,10
40186635,39
34901531,189
38360571,52
33355857,34
32913827,13
38952434,60
34138553,113
39640657,78
38065866,104
39959998,96
33724922,51
34745368,46
39440133,96
39323801,122
39450008,9
38689557,88
33027585,14
40337730,131
33376731,54
34405026,38
37140494,59
38913712,116
32280182,34
33977163,26
38192525,21
36622102,107
36903621,131
36261022,250
34769137,96
33961211,117
36972963,126
38213973,28
34335596,468
39790704,16
33791239,159
37081138,180
34616661,88
32616336,5
32795243,337
32020384,29
37569284,56
39194524,570
40000765,96
33020746,15
32566144,68
37077696,66
32983335,28
34835460,149
33397833,69
33503348,14
39958548,45
32760223,92
39120310,578
40069493,92
34574206,32
38213152,43
39285612,43
35948444,10
33987048,21
39512588,104
40281924,47
37701680,46
38943123,238
35687147,69
38411167,26
35965517,102
37460636,77
37016580,164
39735009,18
35699911,42
38347553,123
33959141,135
38293439,49
37344559,32
38351279,247
39325876,44
34097787,85
35924086,77
33244708,69
38197057,10
34430706,128
34124052,158
36183043,74
33805384,102
34840867,33
36498302,48
39930257,81
38877052,80
39606725,160
36744409,68
33674571,110
34789389,26
38998687,75
34169568,168
37975814,127
34949995,18
37025378,425
34395125,20
39876958,36
34926966,44
40080275,47
31938646,38
36646928,75
33243202,117
40206844,53
32350267,156
37863512,47
35759335,25
34930464,62
31980525,76
33041975,55
37341489,194
36649378,95
33892769,137
35157795,74
38737155,20
39318910,45
39462111,85
33618744,169
35674488,31
37560412,97
32344825,68
37901762,116
34354766,67
38102495,86
32449482,62
34717749,72
36831326,666
40055920,32
34159286,28
36076931,127
35065260,376
38511102,35
33316923,58
38440104,90
34869015,94
37106674,140
35152984,149
31920969,62
38659533,13
40276073,75
36145566,87
39200825,110
39744408,7
