#node_id,out_degree
33353951,142
38416747,246
38309569,57
36016239,79
37339404,191
39956025,131
37755658,117
34835211,96
40001909,71
40176982,98
37417442,5
33104159,13
35622718,45
34163194,101
37713851,38
39650247,122
36247396,43
35602607,199
37478058,91
35056307,42
32005542,19
39076787,66
39609483,9
35646805,102
37502276,13
35836203,70
35984146,11
38345821,59
33145249,18
39369944,47
37082823,81
37206077,113
39544819,25
38102169,177
35169189,177
40065464,15
32671979,43
32711431,34
39598452,218
32471016,6
37563728,97
37751218,74
34563233,51
33929568,40
34253341,41
37854361,33
37065542,34
37441022,83
32482868,88
38724254,67
36497178,113
36276039,41
40304754,11
36043878,129
38977564,64
37107137,44
34760147,202
40212151,39
33060404,48
32312004,28
34527279,276
40242019,47
38573992,71
39654617,186
37860706,171
34639483,126
33717651,112
37214189,87
38068416,136
32899505,84
32611343,37
34108664,22
38690297,40
36243128,67
39012621,90
38112379,56
34459478,53
39237437,262
39123551,81
34065412,144
38496286,102
34672131,28
38486095,67
37819697,95
38278797,67
37881670,15
40247003,69
35495076,40
39689859,124
40038126,69
36325591,184
35885247,43
34813042,132
38714567,114
38438917,109
35049536,35
39598860,249
36568732,15
32927879,98
35736168,84
36010072,68
34570796,69
39480815,84
39773472,46
34569101,47
34912599,20
38494496,107
34534238,141
36855439,12
36431795,166
36127038,21
33846649,15
35164804,56
36530465,179
35812019,27
33669117,105
35851740,50
33014214,124
34566586,79
32598130,80
37152043,120
33053943,51
39519177,96
35068818,54
34900917,136
40028597,67
33724996,59
34566998,322
39699454,102
32406733,54
34685732,218
32972358,122
40320561,54
32548451,76
35506434,55
33655765,44
39068490,126
33824829,30
32256908,367
37529267,67
33273898,103
37978926,35
35959507,93
39902242,216
37539391,23
34203877,333
38668557,84
38754078,131
35096297,71
39061864,131
34832242,51
33043218,144
36656861,119
35418677,178
36536036,51
36420217,113
34457686,50
39100895,53
37948019,59
32451406,24
39000347,83
38948243,25
39773193,77
31933579,29
38129496,135
36769783,46
35546027,18
32404447,36
34568827,33
39477860,78
36035396,49
37178432,151
34434055,33
40332265,50
37583674,13
34766011,12
33291675,25
36859380,146
32471400,55
37992044,20
33561999,140
36837511,56
37921858,190
33922201,59
35426467,72
38720396,236
33910401,33
37437015,99
37850517,254
38504932,51
39958027,23
36163043,123
35024095,200
33671893,92
35801728,116
34600793,26
32397068,129
34885802,204
35119786,63
39024104,129
32053867,75
37159427,68
33118973,13
40463473,123
39930293,97
33986643,217
36031184,251
36601225,44
37586775,86
35576225,144
35731631,57
36029465,57
36147490,100
38353177,96
37009037,38
37308917,106
33649725,27
35640988,61
39473611,88
34372766,69
36675821,47
35023368,9
32577161,138
40196053,33
38131553,29
38440205,20
33464310,181
37034682,98
32796947,42
35600227,89
37386574,164
32442242,148
36695856,60
37944311,22
34986891,93
34023962,98
36350662,77
33726813,98
33819464,43
38561622,83
33195887,103
35481001,68
35603274,50
34350132,106
33435440,302
39712494,164
32704357,59
33350382,98
36688949,108
37253836,65
36064844,93
39347404,10
33116447,147
35162927,97
34211959,113
32020152,29
35273838,20
40282527,174
33596232,81
38050390,21
39312672,17
32981196,47
39358684,38
34746308,113
37013550,99
34006087,55
36483136,159
37999796,49
38786904,38
33077510,52
34043084,18
37891172,26
33339353,222
34490312,220
31906990,35
40445529,51
35890228,233
34633483,73
38026443,92
34675617,59
34180030,57
32681241,99
39465863,14
34336508,11
36740716,163
38454388,48
36171798,68
39106616,46
38784490,22
33582937,69
34132479,109
32210841,66
39290531,63
35852355,141
39930106,74
36970258,168
33449179,46
33234131,216
34629829,131
38846786,134
39881354,55
35146215,47
38927752,103
37938677,176
38061140,20
32467750,12
33532713,87
36618711,36
38428895,62
33060322,64
37601076,61
35147098,62
39120323,343
39518423,69
37375568,89
32708500,63
33750873,57
34041027,296
38133504,73
39458022,63
39297248,112
33627773,106
39108585,151
36325973,67
35845641,82
39613926,62
36879240,36
32494381,35
33468253,126
33766039,110
36534397,116
38023322,9
36017225,152
39797133,79
35636384,111
40191450,92
34900362,23
40232071,87
32245469,54
32901024,98
32620853,64
36330495,215
35506095,50
37279920,236
36880763,278
35862065,200
32530915,194
37665397,40
38905258,96
34308577,44
35349139,17
37458420,223
36823508,68
35568795,87
34250256,47
38965509,83
39446876,48
35757417,60
35383428,26
36515502,15
36556844,109
34501878,150
33445731,52
32951124,91
33841340,1073
34568805,49
35150056,68
35298851,28
40166706,237
38523989,14
31996740,150
36685190,83
32876112,51
39328197,81
38882273,70
33033364,62
36079928,111
34944944,68
38249797,97
33178002,123
33976111,109
39585694,116
36243807,99
39203715,77
38891509,55
35408683,62
33727410,51
34260604,72
39748328,39
35807973,71
39846210,33
36382967,56
37448573,153
40312328,39
34104599,35
36776464,69
39733046,56
35646645,76
36785723,41
38828243,29
33777758,135
34584986,75
33669448,75
38334658,89
40231834,38
37679460,99
37921746,42
34581509,17
36978631,77
36045196,56
40429704,108
35141117,36
39390518,42
36103997,44
33494225,195
37304540,79
32033566,87
33184076,64
34909654,95
37872484,80
32837518,82
39052733,54
38650104,56
38647671,83
32601242,130
38961840,281
34409365,28
34956969,42
39092133,141
38728377,28
35603216,86
39970488,61
33732519,63
33909229,74
37264901,23
40408027,634
34158419,49
38987472,119
36181072,59
39875416,25
39955574,12
37755278,58
36959186,108
31986872,10
36981950,62
38055490,26
36305911,56
35927667,54
34107646,240
38955887,102
37123365,122
37660443,148
39238517,43
33767262,59
31919098,84
36053432,82
38449762,25
33693287,31
36177348,60
34436478,190
33525237,30
35495365,59
38386180,48
38957495,24
39021587,56
39839718,52
38994851,121
39087957,20
37580694,19
37758753,24
33623270,33
36065384,46
38733833,51
33924280,72
36355045,43
38162778,93
36224497,133
36426416,36
36467329,85
39297340,151
35403785,58
35330905,64
33081202,97
35588144,95
36812097,178
36036064,39
34046306,129
35159811,56
33123365,5
35805930,490
33407570,95
36842649,92
35424544,22
32582182,340
33613728,311
32793536,256
39918733,40
36968429,76
34527877,17
38068770,91
38445269,76
37875548,167
40032386,44
38965250,95
38528294,120
32451301,37
38138158,87
32483221,71
34754320,66
33978901,84
35286480,87
38293655,39
38386677,171
37781274,60
40264156,81
36686299,14
38706917,55
32279440,53
36765906,144
38140364,99
39622182,18
35519374,76
39943049,242
39526226,9
39563282,58
35492906,127
38913782,111
32226725,135
33219326,37
35372395,91
39458227,81
32726777,25
32676435,224
32542606,40
33557174,125
35851978,54
39460484,63
40124309,60
39234043,65
32682094,154
40324239,40
34466056,89
38668663,58
32691208,79
38041097,222
38250796,122
32219399,117
37447609,85
37580722,124
36755107,133
35723425,103
34675970,54
38289132,102
37795460,50
33436728,45
33859644,492
32295116,126
40464044,33
36653771,96
33888007,82
38860088,9
38243922,153
35541409,80
33911087,198
36309912,133
39661153,53
37663516,70
31948324,71
39587107,44
34178596,266
33623648,30
36224532,124
37323010,105
34503266,231
37251016,93
34521933,116
37258221,19
32925778,42
33469296,66
34630776,99
33987359,113
34440381,78
35747110,18
36274748,85
33740984,103
33214420,56
37680132,117
39407632,75
37179351,79
34832335,80
33080590,38
33420231,132
37376386,78
37851703,43
36853741,71
38253353,120
36040097,45
34258640,311
35521817,61
36807013,262
35387956,74
31976932,46
40376633,25
35822571,32
38799458,110
39810189,99
38665823,110
36994453,60
39896801,80
36523549,67
36578977,58
40421867,38
38425906,91
39009767,26
35892610,60
39899458,366
35847587,144
33312559,21
35178518,116
37149504,354
38046034,103
36816484,119
39432425,27
39348850,277
38145140,17
38675114,169
34867236,157
36188236,119
39419105,121
36428435,48
32317389,124
39152384,29
35704313,13
39723685,33
36678571,155
37179384,260
36290398,104
34500737,193
38536126,119
37221405,73
39775238,108
33796419,23
33256141,137
39160461,98
38481821,26
39114716,26
35227313,71
39039258,100
32675234,10
34491306,58
35895618,74
37490130,72
40199768,41
40212931,48
40276639,102
33265243,30
36043359,56
39953652,46
35358232,61
40477968,35
32171937,59
32606874,97
33924881,184
35818960,49
33514431,110
32232057,55
36611401,73
37588608,64
36646055,169
36770889,69
32047475,206
33195074,39
39445584,78
35165787,59
33716446,46
38338896,121
35190660,79
35349032,143
36320200,38
36359253,60
33569021,68
39081937,36
39561353,137
36908498,28
34830617,167
34553023,290
33349800,137
37781302,28
38995357,33
40217550,63
34842530,114
34885879,92
35806083,168
33490235,58
38855727,89
34044024,53
37384112,56
35621957,142
37314874,182
38471513,17
39920127,62
36033715,253
33665553,177
35539946,112
37766480,23
38206300,98
32658264,29
32357508,129
35956246,196
37957966,108
36218194,60
36938111,33
33068064,35
39720030,150
37468500,43
39081458,80
38525001,14
37123482,34
32063722,73
38483859,38
39402533,62
39179585,72
32064561,58
39178219,43
37204693,74
38298199,45
37367087,68
37275133,110
36118291,140
36176312,59
36082951,46
33157922,35
34977128,82
33317458,57
32876664,331
32998432,83
40332918,49
37359428,43
38860081,16
39568520,40
39005635,23
32751918,229
33374213,434
38882484,38
35369312,157
33482757,23
35958971,48
40225596,114
35650430,91
36644608,63
33244026,163
33550117,38
39428606,55
37798809,123
40093666,45
37395820,80
39027374,219
33134056,33
32793596,130
35390489,137
36405133,95
36691394,67
34026347,91
32438390,78
33235424,27
33631543,36
34242086,45
39635200,47
37833767,93
33893178,42
39424752,66
38973913,72
38835767,77
34691708,76
39056866,576
32066721,169
35054165,72
40438606,428
38722851,142
40200284,50
32986237,33
36260626,41
36817434,342
33377602,64
37936103,188
32982958,65
36611954,86
35329328,59
33627744,54
39340032,258
37333652,101
33368805,58
33318325,20
34867625,81
37908352,171
34450898,48
33119759,120
40100525,65
37127752,145
35652632,42
33148186,45
35648328,117
33252037,223
33306700,102
35106399,51
32003869,60
34452179,101
39106031,66
32992282,274
37804343,46
37481511,96
35984137,26
37632821,51
37389601,108
36685887,48
38709769,225
33178676,114
36173151,86
40175532,11
36740697,60
33305953,85
38270859,303
37540668,83
34049907,173
38024241,23
36648869,94
37279192,183
35564432,58
34584210,504
33080220,43
32092977,226
36294092,95
37784175,89
32059359,81
32566277,38
37107107,82
